Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,192.0,8.0,28.0,627.0,0.0,42.202999999999996,0.0,0.0,136.8707640171051,,,,,,,,,,,,,,,,,,,,,4.229258263605876,1.897133835131042,5.97664493042107,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,209.0,9.0,17.0,644.0,0.0,22.303000000000008,0.0,0.0,138.72855472564697,,,,,,,,,,,,,,,,,,,,,3.467629876162575,2.1404217179180036,5.892824272806366,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,226.0,10.0,17.0,661.0,0.0,19.80400000000001,0.0,0.0,140.68114161491394,,,,,,,,,,,,,,,,,,,,,3.0346480678094054,2.128845522848809,5.801450709669572,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,256.0,11.0,30.0,691.0,0.0,38.80400000000001,0.0,0.0,143.76593351364136,,,,,,,,,,,,,,,,,,,,,3.6103761257632323,1.6377498902486807,5.924914148049893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,273.0,12.0,17.0,708.0,0.0,21.803000000000008,0.0,0.0,145.50728368759155,,,,,,,,,,,,,,,,,,,,,3.3818407883218513,2.0846125326261604,5.863764674378274,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,292.0,13.0,19.0,727.0,0.0,22.40400000000001,0.0,0.0,147.54411125183105,,,,,,,,,,,,,,,,,,,,,3.123222852943049,2.061651093446942,5.825708084714023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,309.0,14.0,17.0,744.0,0.0,20.30400000000001,0.0,0.0,149.43343234062195,,,,,,,,,,,,,,,,,,,,,3.119298703147005,2.195154784675935,5.845083740342384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,325.0,15.0,16.0,760.0,0.0,19.803000000000008,0.0,0.0,151.22510170936584,,,,,,,,,,,,,,,,,,,,,3.2241266330209717,2.0505442735458694,5.801448460027437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,341.0,16.0,16.0,776.0,0.0,20.703000000000007,0.0,0.0,153.0203297138214,,,,,,,,,,,,,,,,,,,,,3.388062358016509,2.1217975386726375,5.855393138092546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,362.0,17.0,21.0,797.0,0.0,30.703000000000007,0.0,0.0,155.24280190467834,,,,,,,,,,,,,,,,,,,,,3.9998124385931635,2.147818349718157,5.970645320337358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,384.0,18.0,22.0,819.0,0.0,29.80400000000001,0.0,0.0,157.73989629745483,,,,,,,,,,,,,,,,,,,,,3.6960832246745863,2.2293432690428725,5.963577237352536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,400.0,19.0,16.0,835.0,0.0,19.803000000000008,0.0,0.0,159.45768117904663,,,,,,,,,,,,,,,,,,,,,3.2241266330209717,2.0505442735458694,5.801448460027437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,437.0,20.0,37.0,872.0,0.0,57.303,0.0,0.0,163.3018991947174,,,,,,,,,,,,,,,,,,,,,4.422395074140627,1.7464522658521355,5.976791371935314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,30.0,1.0,30.0,902.0,0.0,40.903999999999996,0.0,0.0,240.16199111938477,,,,,,,,,,,,,,,,,,,,,3.8183170620159683,1.932373270656362,5.961959794479179,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,48.0,2.0,18.0,920.0,0.0,22.30400000000001,0.0,0.0,242.04724621772766,,,,,,,,,,,,,,,,,,,,,3.2751499953905774,2.2263999036531836,5.892825771068027,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,73.0,3.0,25.0,945.0,0.0,35.803,0.0,0.0,244.78709363937378,,,,,,,,,,,,,,,,,,,,,3.9706836205096,1.9812522759754316,5.969464439089656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,93.0,4.0,20.0,965.0,0.0,30.103000000000005,0.0,0.0,246.86364603042603,,,,,,,,,,,,,,,,,,,,,4.109839232749986,2.181234134675783,5.972805970903546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,111.0,5.0,18.0,983.0,0.0,24.703000000000007,0.0,0.0,248.86906695365906,,,,,,,,,,,,,,,,,,,,,3.6715020109087746,2.152578035090986,5.9291947587597775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
